Stock,ARIMA_MAE,ARIMA_RMSE,SARIMA_MAE,SARIMA_RMSE,Prophet_MAE,Prophet_RMSE
ADANIPORTS,55.89083741152416,87.20618888405915,52.413207592220296,90.12979678774515,186.99245843958494,206.68774654699632
ASIANPAINT,573.7234186804656,719.6605351192289,496.0649901430806,634.9629947341817,811.3032637028058,956.8578165085224
AXISBANK,160.98993312207406,193.02757344650712,133.6969029236385,154.31639090825934,928.7597890327853,1009.2346682506592
BAJAJ-AUTO,322.31395161224896,444.1934996583616,248.42678995216625,337.0449152568495,316.5628858776138,395.53075963701986
BAJAJFINSV,1674.4511380320596,2105.5375249181775,1400.090816800297,1619.6658887828066,1755.277695831559,2372.5092636858617
BAJFINANCE,1940.0516065120887,2270.065193017124,1877.659067502827,2201.5657153169996,4977.77686006691,5029.4961907012985
BHARTIARTL,80.27950492658319,102.56246817645201,66.64827564437486,77.84635372158992,107.31045575324107,136.01684578281078
BPCL,239.2866799925933,256.8116286906883,273.64935385182014,293.7842885208361,788.6196842685594,828.1236696082982
BRITANNIA,891.17178499168,1315.3241132166204,883.1226072943099,1224.459939785575,1948.342399514703,2333.4851730446717
CIPLA,79.68344043072732,108.78002181796946,87.72869634174093,130.9371035292209,191.59003942575464,221.80295614518062
COALINDIA,68.95487346007306,78.61153310509125,58.2705216618718,66.33861038536236,76.24887804034104,85.23196832449902
DRREDDY,688.369815513457,908.2212544846974,695.8697380440731,819.8178407928757,1238.378499948202,1366.4162899583014
EICHERMOT,7028.585649090122,9423.218899725262,8922.442536465767,11793.680741524708,18228.760154215182,24021.169927376613
GAIL,202.7589682035722,244.8144891671866,253.91859159234446,303.1554240503612,170.84391070964122,217.15099637955691
GRASIM,187.56230324604002,224.46684168113285,204.25662155257567,233.98966457027183,2832.5453528789362,2851.887666038644
HCLTECH,142.76081006856168,178.12412814866386,168.28565341535642,198.93559900488623,458.8776845051239,519.2539714886923
HDFC,684.4436534595362,750.289321975077,565.8065084829431,624.2740666996965,286.021489441165,329.16641084632863
HDFCBANK,502.74985821546403,614.8531994999706,482.10668525624817,558.2915920722687,522.2225280576495,557.0383654923236
HEROMOTOCO,449.8025831488272,538.1639001571186,613.952153241597,722.6944541447309,1095.5349166339558,1347.9442792327109
HINDALCO,48.4700712680266,60.2017004634866,127.06089566027478,142.45933832622973,78.22147000857476,89.43074330102891
HINDUNILVR,861.2632782992926,962.8339722152213,1039.279515185186,1166.1766744005804,552.3312275589362,621.9556081810616
ICICIBANK,120.69605626835772,153.21682869925218,118.7040332019116,151.59421273066644,1103.109712646038,1214.8985598158747
INDUSINDBK,405.9757808628112,462.57619723195495,456.1803252771321,595.0257056823592,597.7304607713196,807.9529425643166
INFY,191.69307686308022,226.55452634452396,792.0412378137006,942.731180211037,2197.8377294161646,2450.7379466743887
IOC,183.15092829558367,203.95291722510214,192.57748093855474,216.04436723488473,406.09048389353677,451.2601368178551
ITC,33.19419503152606,43.85734072824048,28.348226603307747,34.37103698557637,28.315151953488353,34.64343001154045
JSWSTEEL,49.569486581225846,64.66465376121691,51.75710746442475,69.8358711954131,479.6609652757314,576.881552437985
KOTAKBANK,582.3934391522134,652.1927995368524,552.6093983678785,619.3689418331182,472.6697569997882,554.6273185658054
LT,180.1966307593516,204.1054392832795,164.31472436380088,215.19514459275774,202.72971246530875,243.42020669515384
MARUTI,1125.9026131045584,1317.9713727787341,1967.2632798760296,2245.5163489487486,2822.8604743143264,3193.65011115385
MM,437.4114154263847,481.5948977909738,523.7272182288472,582.6510384860688,869.0892079372459,971.372676885464
NESTLEIND,3580.8639065907487,4190.437175525533,2541.9890159435035,2945.0448888548303,1081.9443454521177,1308.0580891721725
NTPC,47.0186194577078,54.960873212734555,58.362850400001804,68.09827510209796,77.32848175228489,88.97194052409039
ONGC,58.316530786480435,70.82187397829347,57.418216458308315,69.56981287927724,31.627759066006085,37.29322801056182
POWERGRID,12.041959268088743,15.65850493211755,15.404490258433544,21.26672075573089,49.339608659446625,53.86842914287978
RELIANCE,399.7292272009373,526.5394319405515,334.0018281133276,444.4547433333816,314.81233967991386,420.486187821102
SBIN,47.94158879038144,57.23102174354112,46.29441626594753,55.88006916525554,1993.298782250629,2160.3006537735923
SHREECEM,4286.344161248962,5373.790325784315,2609.5962460643764,3491.719490082086,4712.163251194235,5500.427194753205
SUNPHARMA,125.16829673914651,144.67415945283412,75.08447779474007,102.02079575743251,353.38070770034346,366.0986527657445
TATAMOTORS,280.6980536251938,307.47478599076146,321.0710731209868,351.89967199619775,304.8875904293682,342.7124682341962
TATASTEEL,142.16820498572937,172.058542443364,133.81246126016674,159.90870807187588,203.30165648415323,233.78922001340314
TCS,512.4200822736432,551.9567433553941,621.6980767805898,681.3342346057533,422.2776336111436,480.3717531441414
TECHM,94.87719576097197,127.41268045630343,89.15527930443379,119.54612956131382,137.459163507572,166.59796336640022
TITAN,616.744401647544,682.2295280355607,580.9389949000075,644.4270229929278,485.67697799366357,544.0127314945438
ULTRACEMCO,504.1407034726057,754.7235215745126,709.4258298977655,835.0101431992175,1025.8556384882372,1183.92798311823
UPL,152.41522922532315,185.61315869521582,206.7726117171047,254.15267049563732,480.78602376612173,563.0915073900647
VEDL,71.40735718547927,84.4516701028108,84.62454554154385,99.83050277014864,78.3454120959716,101.34868767161147
WIPRO,171.50002438719025,186.23142685019562,134.47717703038774,179.08486447311213,307.1317447144751,322.0307047667041
ZEEL,141.98819424809037,177.73881363273358,205.59465364278893,267.5115114780729,270.12495799769374,352.74578272741564
